ID,Lastname,Firstname,FamilyIncome,TypeofSeniorHighSchool,ProgramEnrolled,MunicipalityOfOrigin,Grade12GWA,Sex
1,Gonzales,Maria,99890,Public,Literature,Cervantes,95.22,Male
2,Gonzales,Maria,86022,Private,Engineering,Batac,99.88,Male
3,Flores,Ana,86903,Public,History,Tagudin,85.95,Female
4,Mendoza,Jose,80421,Private,Sociology,Tagudin,85.67,Female
5,Cruz,Miguel,59975,Public,Economics,Vigan,96.96,Female
6,Santos,Ana,89763,Private,Psychology,Tagudin,98.3,Male
7,Santos,Maria,48178,Public,Finance,Santa,90.18,Female
8,Reyes,Maria,35774,Private,Biology,Laoag,89.75,Male
9,Torres,Luisa,52962,Public,History,Vigan,88.34,Male
10,Reyes,Jose,79986,Private,Finance,Batac,98.13,Male
11,Mendoza,Elena,97407,Public,Economics,Baguio,92.27,Male
12,Flores,Pedro,67477,Private,Accountancy,Narvacan,86.97,Female
13,Santos,Rosa,83080,Public,Engineering,Santa,96.49,Female
14,Cruz,Ana,56117,Private,History,Cervantes,93.73,Female
15,Lopez,Maria,36967,Public,Literature,Santa,88.83,Female
16,Reyes,Ana,57167,Private,Sociology,Santa,92.75,Male
17,Lopez,Elena,99460,Public,Computer Science,Narvacan,86.75,Male
18,Reyes,Carlos,36971,Private,Psychology,Batac,96.49,Female
19,Garcia,Pedro,48192,Public,Psychology,Cervantes,90.36,Male
20,Torres,Rosa,96498,Private,Psychology,Baguio,97.27,Female
21,Gonzales,Rosa,30200,Public,Literature,Batac,88.36,Male
22,Rivera,Miguel,97862,Private,Accountancy,Candon,96.3,Female
23,Cruz,Pedro,88314,Public,Sociology,Batac,92.06,Female
24,Lopez,Ana,67654,Private,Sociology,Laoag,86.31,Male
25,Flores,Miguel,99573,Public,Sociology,Narvacan,94.05,Female
26,Mendoza,Pedro,54752,Private,Literature,San Fernando,91.42,Female
27,Cruz,Ana,68742,Public,Literature,Candon,85.13,Female
28,Gonzales,Carlos,41125,Private,Sociology,Tagudin,91.12,Female
29,Flores,Maria,45670,Public,Literature,Santa,97.5,Female
30,Garcia,Jose,74075,Private,Biology,Narvacan,97.63,Male
31,Rivera,Elena,89818,Public,Computer Science,Baguio,87.65,Male
32,Mendoza,Jose,82454,Private,Finance,Candon,97.05,Female
33,Torres,Juan,64269,Public,Psychology,Santa,91.89,Male
34,Santos,Luisa,36375,Private,History,Cervantes,96.47,Male
35,Gonzales,Maria,38137,Public,Psychology,Narvacan,97.26,Female
36,Gonzales,Luisa,54196,Private,Engineering,Narvacan,86.67,Male
37,Flores,Maria,80401,Public,Finance,Santa,92,Male
38,Santos,Jose,41250,Private,Accountancy,Candon,86.35,Female
39,Reyes,Miguel,75623,Public,Literature,Tagudin,93.58,Female
40,Garcia,Juan,59607,Private,Accountancy,Baguio,86.68,Male
41,Rivera,Jose,62615,Public,Accountancy,Batac,98.77,Female
42,Flores,Pedro,77948,Private,History,Vigan,86.34,Female
43,Mendoza,Pedro,86260,Public,Sociology,San Fernando,92.06,Female
44,Garcia,Carlos,51862,Private,Accountancy,Santa,92.61,Male
45,Garcia,Luisa,68139,Public,Psychology,Laoag,93.42,Female
46,Reyes,Carlos,86066,Private,Finance,Candon,92.97,Female
47,Mendoza,Pedro,61094,Public,Engineering,Baguio,94.41,Male
48,Torres,Ana,37910,Private,Sociology,Candon,88.11,Female
49,Torres,Rosa,47624,Public,History,Narvacan,93.33,Female
50,Cruz,Elena,97565,Private,Accountancy,San Fernando,92.59,Female
51,Rivera,Miguel,95799,Public,Sociology,Cervantes,85.05,Female
52,Flores,Miguel,63626,Private,Sociology,Santa,92.61,Male
53,Reyes,Luisa,91746,Public,History,Tagudin,95.27,Female
54,Santos,Carlos,45626,Private,Finance,Candon,85.43,Male
55,Flores,Luisa,55853,Public,History,Laoag,96.47,Male
56,Rivera,Juan,49971,Private,Biology,Narvacan,89.64,Male
57,Mendoza,Maria,46355,Public,Engineering,Santa,92.01,Male
58,Flores,Pedro,76851,Private,Economics,Baguio,86.27,Female
59,Reyes,Ana,55243,Public,Literature,Baguio,87.02,Male
60,Flores,Ana,37366,Private,Psychology,Baguio,95.42,Male
61,Santos,Maria,91367,Public,Engineering,Laoag,92.43,Female
62,Torres,Juan,66564,Private,Engineering,Narvacan,94.83,Female
63,Flores,Rosa,81481,Public,Psychology,Batac,97.01,Female
64,Lopez,Luisa,53161,Private,Sociology,Santa,97.14,Male
65,Gonzales,Elena,59611,Public,Sociology,Tagudin,97.03,Female
66,Rivera,Ana,68085,Private,Finance,Narvacan,94.63,Male
67,Lopez,Ana,84942,Public,Computer Science,Laoag,85.61,Female
68,Rivera,Rosa,65107,Private,Accountancy,Narvacan,88.65,Male
69,Cruz,Ana,45527,Public,Accountancy,Candon,97.97,Female
70,Torres,Elena,45039,Private,Literature,Laoag,97.18,Female
71,Cruz,Juan,30354,Public,Biology,Cervantes,92.34,Female
72,Gonzales,Pedro,77240,Private,Accountancy,Baguio,94.39,Female
73,Cruz,Luisa,39297,Public,Sociology,Candon,95.29,Male
74,Flores,Miguel,56534,Private,Engineering,Cervantes,86.74,Male
75,Mendoza,Rosa,89104,Public,Literature,Tagudin,93.75,Female
76,Flores,Elena,77675,Private,Computer Science,Candon,88.98,Male
77,Lopez,Luisa,54739,Public,Computer Science,Narvacan,94.89,Female
78,Rivera,Ana,91629,Private,Finance,Narvacan,99.28,Male
79,Cruz,Carlos,95485,Public,Economics,Batac,93.38,Male
80,Santos,Ana,85821,Private,Psychology,Vigan,90.05,Male
81,Mendoza,Pedro,45593,Public,Biology,Laoag,88.64,Female
82,Gonzales,Ana,64279,Private,Engineering,Batac,95.23,Female
83,Reyes,Elena,40737,Public,Engineering,Batac,97.5,Male
84,Mendoza,Ana,74665,Private,Psychology,Santa,89.94,Female
85,Flores,Ana,51943,Public,Engineering,Laoag,85.21,Female
86,Mendoza,Carlos,85450,Private,Sociology,San Fernando,86.43,Male
87,Mendoza,Pedro,69602,Public,Economics,Santa,86.28,Male
88,Santos,Luisa,81640,Private,Biology,Laoag,96.62,Female
89,Lopez,Elena,82769,Public,Economics,Cervantes,91.47,Female
90,Torres,Miguel,69418,Private,Biology,San Fernando,98.69,Female
91,Gonzales,Carlos,77086,Public,Biology,Vigan,93.79,Male
92,Reyes,Jose,55300,Private,Literature,San Fernando,99.19,Male
93,Rivera,Jose,63409,Public,Finance,Batac,86.65,Female
94,Rivera,Jose,90022,Private,Computer Science,Santa,87.13,Female
95,Lopez,Pedro,30882,Public,History,Batac,86.1,Female
96,Mendoza,Pedro,84563,Private,Engineering,Santa,97.33,Female
97,Gonzales,Pedro,99998,Public,Computer Science,Santa,99.6,Female
98,Reyes,Carlos,69029,Private,Economics,Tagudin,86.22,Female
99,Rivera,Rosa,30875,Public,Finance,Cervantes,91.18,Female
100,Gonzales,Carlos,55708,Private,Literature,Batac,95.64,Male
101,Mendoza,Maria,81627,Public,Finance,San Fernando,88.67,Female
102,Rivera,Pedro,79531,Private,Biology,Narvacan,91.1,Male
103,Santos,Miguel,72603,Public,Sociology,Vigan,91.17,Male
104,Torres,Jose,43287,Private,Economics,Narvacan,93.89,Male
105,Santos,Luisa,31219,Public,Psychology,Cervantes,88.54,Male
106,Flores,Jose,98538,Private,Accountancy,Narvacan,97.27,Female
107,Santos,Maria,47688,Public,Engineering,Batac,98.39,Female
108,Reyes,Jose,49861,Private,Psychology,Baguio,90.2,Male
109,Cruz,Carlos,34657,Public,Economics,Tagudin,96.24,Female
110,Cruz,Elena,84610,Private,Computer Science,Narvacan,88.24,Female
111,Mendoza,Elena,91876,Public,Sociology,Narvacan,99.55,Female
112,Rivera,Elena,90830,Private,Biology,San Fernando,94.36,Male
113,Mendoza,Ana,38521,Public,Sociology,Narvacan,94.17,Male
114,Reyes,Carlos,88567,Private,Sociology,Narvacan,91.53,Female
115,Santos,Rosa,63098,Public,Computer Science,Laoag,90.06,Female
116,Torres,Miguel,99391,Private,Economics,Candon,96.04,Male
117,Reyes,Elena,44657,Public,Computer Science,Cervantes,88,Female
118,Torres,Rosa,80721,Private,Sociology,Candon,86.31,Female
119,Flores,Ana,65231,Public,Literature,Laoag,88.01,Male
120,Rivera,Pedro,31641,Private,Economics,Narvacan,96.83,Female
121,Torres,Miguel,71624,Public,Engineering,Baguio,92.72,Female
122,Garcia,Ana,54542,Private,Biology,Cervantes,96.04,Female
123,Mendoza,Jose,34388,Public,Finance,Santa,97.48,Male
124,Cruz,Luisa,89899,Private,History,Tagudin,97.99,Female
125,Lopez,Pedro,89772,Public,Engineering,Cervantes,90.49,Male
126,Reyes,Carlos,59707,Private,Psychology,Vigan,99.82,Male
127,Rivera,Jose,84950,Public,Finance,Candon,87.68,Female
128,Lopez,Ana,91868,Private,Sociology,Narvacan,93.79,Female
129,Flores,Jose,76899,Public,Literature,Baguio,95.3,Male
130,Santos,Miguel,96213,Private,Biology,Narvacan,86.74,Male
131,Rivera,Maria,38479,Public,Psychology,Tagudin,94.3,Male
132,Gonzales,Juan,70476,Private,Engineering,Vigan,95.21,Female
133,Garcia,Luisa,39389,Public,Literature,Baguio,92.5,Male
134,Santos,Pedro,78079,Private,Economics,Tagudin,86.68,Male
135,Lopez,Pedro,84539,Public,Finance,Batac,97.37,Female
136,Santos,Luisa,74196,Private,History,Laoag,85.87,Male
137,Gonzales,Elena,61108,Public,Literature,Tagudin,88.99,Male
138,Cruz,Elena,70492,Private,Sociology,Vigan,92.35,Female
139,Cruz,Ana,69539,Public,History,Santa,88.37,Female
140,Rivera,Ana,67518,Private,Economics,Batac,93.13,Male
141,Flores,Miguel,53566,Public,Economics,Vigan,93.74,Male
142,Mendoza,Miguel,88320,Private,Engineering,Candon,86.16,Female
143,Gonzales,Maria,30116,Public,Economics,San Fernando,99.1,Female
144,Garcia,Elena,87065,Private,Finance,Batac,99.18,Male
145,Lopez,Maria,69364,Public,Engineering,Laoag,86.18,Male
146,Santos,Carlos,80305,Private,Biology,Narvacan,90.94,Male
147,Rivera,Luisa,97325,Public,Computer Science,Vigan,89.14,Female
148,Flores,Luisa,80536,Private,Computer Science,Laoag,94.22,Male
149,Cruz,Jose,64614,Public,Psychology,Batac,93.09,Male
150,Cruz,Jose,45996,Private,History,Vigan,97.29,Female
151,Torres,Jose,81946,Public,Accountancy,Narvacan,87.85,Female
152,Cruz,Luisa,72036,Private,Engineering,Vigan,93.46,Male
153,Reyes,Pedro,81958,Public,Finance,Batac,87,Male
154,Santos,Maria,61066,Private,Literature,Batac,90.52,Female
155,Reyes,Miguel,57051,Public,Engineering,Baguio,90.06,Female
156,Torres,Luisa,81600,Private,Computer Science,San Fernando,94.37,Male
157,Torres,Juan,64467,Public,Accountancy,Narvacan,91.54,Female
158,Lopez,Maria,81772,Private,Psychology,Cervantes,98.8,Female
159,Torres,Luisa,79132,Public,Computer Science,Baguio,92.17,Male
160,Garcia,Miguel,61544,Private,Psychology,Candon,88.92,Male
161,Garcia,Rosa,87374,Public,Engineering,Santa,85.32,Male
162,Mendoza,Elena,48261,Private,Economics,Laoag,94.27,Female
163,Cruz,Luisa,76134,Public,Accountancy,Baguio,96.78,Female
164,Garcia,Jose,83632,Private,Computer Science,Narvacan,92.45,Male
165,Mendoza,Miguel,94265,Public,Accountancy,Laoag,95.68,Female
166,Gonzales,Miguel,71890,Private,Sociology,Santa,99.39,Male
167,Santos,Jose,53555,Public,Computer Science,Candon,96.12,Female
168,Flores,Jose,94633,Private,Economics,Laoag,92.88,Male
169,Reyes,Miguel,56650,Public,Biology,Santa,99.69,Male
170,Flores,Ana,92641,Private,Literature,Vigan,93.22,Female
171,Lopez,Pedro,77643,Public,Accountancy,Baguio,86.55,Male
172,Garcia,Juan,37256,Private,Finance,Candon,95.8,Female
173,Cruz,Pedro,72589,Public,History,Batac,97.64,Female
174,Lopez,Elena,55441,Private,Computer Science,San Fernando,85.13,Male
175,Mendoza,Maria,65537,Public,Sociology,Baguio,85.72,Male
176,Flores,Ana,64989,Private,Computer Science,Tagudin,85.05,Female
177,Mendoza,Juan,34267,Public,History,Cervantes,92.81,Female
178,Reyes,Rosa,97665,Private,Sociology,Narvacan,94.59,Male
179,Garcia,Juan,89437,Public,Accountancy,Baguio,89.46,Female
180,Gonzales,Carlos,85232,Private,Accountancy,Baguio,98.69,Female
181,Reyes,Maria,43571,Public,Accountancy,Tagudin,96.12,Male
182,Flores,Ana,73839,Private,History,Batac,96.32,Male
183,Lopez,Maria,56028,Public,Sociology,Cervantes,88.4,Female
184,Lopez,Ana,38105,Private,History,Candon,97.57,Male
185,Mendoza,Carlos,62279,Public,Literature,Santa,94.55,Male
186,Reyes,Juan,93522,Private,Biology,Batac,96.51,Male
187,Flores,Miguel,60203,Public,Finance,San Fernando,88.12,Male
188,Lopez,Maria,70662,Private,Finance,Narvacan,91.64,Male
189,Torres,Elena,91743,Public,Engineering,Santa,92.58,Male
190,Lopez,Maria,69421,Private,Computer Science,Baguio,85.44,Male
191,Reyes,Elena,68987,Public,Psychology,Santa,95.53,Female
192,Flores,Maria,57230,Private,Accountancy,Baguio,94.93,Male
193,Mendoza,Elena,69235,Public,History,Batac,86.79,Male
194,Gonzales,Pedro,33909,Private,Biology,Tagudin,94.63,Female
195,Gonzales,Miguel,70191,Public,Computer Science,Vigan,99.08,Female
196,Reyes,Ana,34383,Private,Literature,Tagudin,94.63,Male
197,Torres,Jose,97758,Public,Accountancy,Baguio,92.95,Female
198,Garcia,Rosa,48862,Private,History,Narvacan,87.49,Female
199,Gonzales,Pedro,70907,Public,Accountancy,Batac,98.29,Male
200,Garcia,Maria,45163,Private,Psychology,Vigan,87.69,Female
201,Cruz,Luisa,96822,Public,Accountancy,Vigan,85.9,Male
202,Flores,Ana,77281,Private,Literature,Laoag,89.81,Male
203,Rivera,Jose,34907,Public,Accountancy,San Fernando,90.12,Male
204,Lopez,Rosa,44253,Private,Engineering,Narvacan,95.25,Male
205,Reyes,Ana,63169,Public,Economics,Laoag,89.25,Female
206,Torres,Carlos,52977,Private,Engineering,Vigan,97.77,Male
207,Santos,Elena,53055,Public,Engineering,San Fernando,89.39,Female
208,Mendoza,Juan,87051,Private,Accountancy,Cervantes,89.19,Female
209,Santos,Rosa,53952,Public,History,Vigan,85.75,Female
210,Reyes,Luisa,44944,Private,History,Narvacan,96.38,Male
