Lastname,Firstname,FamilyIncome,TypeofSeniorHighSchool,ProgramEnrolled,MunicipalityOfOrigin,Grade12GWA,Sex
Gonzales,Maria,99890,Public,Literature,Cervantes,95.22,Male
Gonzales,Maria,86022,Private,Engineering,Batac,99.88,Male
Flores,Ana,86903,Public,History,Tagudin,85.95,Female
Mendoza,Jose,80421,Private,Sociology,Tagudin,85.67,Female
Cruz,Miguel,59975,Public,Economics,Vigan,96.96,Female
Santos,Ana,89763,Private,Psychology,Tagudin,98.3,Male
Santos,Maria,48178,Public,Finance,Santa,90.18,Female
Reyes,Maria,35774,Private,Biology,Laoag,89.75,Male
Torres,Luisa,52962,Public,History,Vigan,88.34,Male
Reyes,Jose,79986,Private,Finance,Batac,98.13,Male
Mendoza,Elena,97407,Public,Economics,Baguio,92.27,Male
Flores,Pedro,67477,Private,Accountancy,Narvacan,86.97,Female
Santos,Rosa,83080,Public,Engineering,Santa,96.49,Female
Cruz,Ana,56117,Private,History,Cervantes,93.73,Female
Lopez,Maria,36967,Public,Literature,Santa,88.83,Female
Reyes,Ana,57167,Private,Sociology,Santa,92.75,Male
Lopez,Elena,99460,Public,Computer Science,Narvacan,86.75,Male
Reyes,Carlos,36971,Private,Psychology,Batac,96.49,Female
Garcia,Pedro,48192,Public,Psychology,Cervantes,90.36,Male
Torres,Rosa,96498,Private,Psychology,Baguio,97.27,Female
Gonzales,Rosa,30200,Public,Literature,Batac,88.36,Male
Rivera,Miguel,97862,Private,Accountancy,Candon,96.3,Female
Cruz,Pedro,88314,Public,Sociology,Batac,92.06,Female
Lopez,Ana,67654,Private,Sociology,Laoag,86.31,Male
Flores,Miguel,99573,Public,Sociology,Narvacan,94.05,Female
Mendoza,Pedro,54752,Private,Literature,San Fernando,91.42,Female
Cruz,Ana,68742,Public,Literature,Candon,85.13,Female
Gonzales,Carlos,41125,Private,Sociology,Tagudin,91.12,Female
Flores,Maria,45670,Public,Literature,Santa,97.5,Female
Garcia,Jose,74075,Private,Biology,Narvacan,97.63,Male
Rivera,Elena,89818,Public,Computer Science,Baguio,87.65,Male
Mendoza,Jose,82454,Private,Finance,Candon,97.05,Female
Torres,Juan,64269,Public,Psychology,Santa,91.89,Male
Santos,Luisa,36375,Private,History,Cervantes,96.47,Male
Gonzales,Maria,38137,Public,Psychology,Narvacan,97.26,Female
Gonzales,Luisa,54196,Private,Engineering,Narvacan,86.67,Male
Flores,Maria,80401,Public,Finance,Santa,92,Male
Santos,Jose,41250,Private,Accountancy,Candon,86.35,Female
Reyes,Miguel,75623,Public,Literature,Tagudin,93.58,Female
Garcia,Juan,59607,Private,Accountancy,Baguio,86.68,Male
Rivera,Jose,62615,Public,Accountancy,Batac,98.77,Female
Flores,Pedro,77948,Private,History,Vigan,86.34,Female
Mendoza,Pedro,86260,Public,Sociology,San Fernando,92.06,Female
